case,resolution,time,z_cm,min_gap,max_penetration,active_contact_count,normal_force,contact_energy,sdf_replay_min_gap,sdf_replay_normal_force,newton_iterations,newton_residual_norm,linearity,element_type,wall_time_seconds
block_block_c3d8,4,0.8200000000000001,0.3732802951229567,0.003280295121513498,0.0,0,0.0,0.0,0.003280295121513498,0.0,2,8.921350658405375e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.84,0.37300403024240636,0.00300403024087232,0.0,0,0.0,0.0,0.00300403024087232,0.0,2,1.0189678614649176e-12,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.86,0.37272804905290363,0.002728049051278317,0.0,0,0.0,0.0,0.002728049051278317,0.0,2,8.837414713464031e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.88,0.37245234316949116,0.002452343167771048,0.0,0,0.0,0.0,0.002452343167771048,0.0,2,9.395391832754618e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.9,0.37217690445504487,0.002176904453224768,0.0,0,0.0,0.0,0.002176904453224768,0.0,2,9.803287344378357e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.92,0.3719017250129493,0.0019017250110214899,0.0,0,0.0,0.0,0.0019017250110214899,0.0,2,9.105419095600555e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.9400000000000001,0.37162679717998065,0.0016267971779360024,0.0,0,0.0,0.0,0.0016267971779360024,0.0,2,9.129627154325392e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.96,0.3713521135194132,0.0013521135172448492,0.0,0,0.0,0.0,0.0013521135172448492,0.0,2,8.523835285887101e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.98,0.3710776668143302,0.0010776668120336095,0.0,0,0.0,0.0,0.0010776668120336095,0.0,2,9.722889203619527e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.0,0.37080345006112087,0.0008034500586905813,0.0,0,0.0,0.0,0.0008034500586905813,0.0,2,9.186235816001709e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.02,0.3705294564631762,0.0005294564606059139,0.0,0,0.0,0.0,0.0005294564606059139,0.0,2,8.301853137450498e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.04,0.3702556794247739,0.0002556794220581688,0.0,0,0.0,0.0,0.0002556794220581688,0.0,2,5.985273523891018e-10,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.06,0.36999907233560725,-9.030293111937865e-07,9.030293111937865e-07,64,0.011185918463608627,5.005164665263032e-09,-9.030293111937865e-07,0.011185918463608627,3,9.285834917967548e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.08,0.36998838656695565,-1.1305077898580897e-05,1.1305077898580897e-05,64,0.1400360331068774,7.844287197917681e-07,-1.1305077898580897e-05,0.1400360331068774,2,9.94811551542203e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.1,0.370411483927939,0.0004114832587140965,0.0,0,0.0,0.0,0.0004114832587140965,0.0,2,1.0283956495015894e-12,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.12,0.371026508710409,0.0010265030778154756,0.0,0,0.0,0.0,0.0010265030778154756,0.0,2,8.930523202162197e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.1400000000000001,0.3716154788107372,0.0016154767793155691,0.0,0,0.0,0.0,0.0016154767793155691,0.0,2,9.225700938142148e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.16,0.3721791514078204,0.002179140162859808,0.0,0,0.0,0.0,0.002179140162859808,0.0,2,9.64309063493579e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.18,0.37271829217199587,0.002718289058659696,0.0,0,0.0,0.0,0.002718289058659696,0.0,2,9.014282448884985e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.2,0.3732336034375709,0.0032335870947337135,0.0,0,0.0,0.0,0.0032335870947337135,0.0,2,9.49623459015263e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.22,0.3737258167148113,0.003725812968832897,0.0,0,0.0,0.0,0.003725812968832897,0.0,2,9.189279877307968e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.24,0.37419558347114124,0.0041955627709486755,0.0,0,0.0,0.0,0.0041955627709486755,0.0,2,7.77787629317267e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.26,0.37464360195991364,0.004643598167096704,0.0,0,0.0,0.0,0.004643598167096704,0.0,2,1.0571436850717245e-12,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.28,0.37507047711716557,0.0050704529860700134,0.0,0,0.0,0.0,0.0050704529860700134,0.0,2,8.083692255313384e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.3,0.3754768742367378,0.005476871076737715,0.0,0,0.0,0.0,0.005476871076737715,0.0,2,7.094769008061323e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.32,0.375863356314966,0.005863329815337444,0.0,0,0.0,0.0,0.005863329815337444,0.0,2,7.980018127141766e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.34,0.37623055550956197,0.006230553705716875,0.0,0,0.0,0.0,0.006230553705716875,0.0,2,5.999677242772388e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.36,0.3765789975994027,0.006578969872434169,0.0,0,0.0,0.0,0.006578969872434169,0.0,2,6.509813842051271e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.3800000000000001,0.37690928110637584,0.006909281371288399,0.0,0,0.0,0.0,0.006909281371288399,0.0,2,4.4988664693635873e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.4000000000000001,0.3772218993029355,0.007221871507700487,0.0,0,0.0,0.0,0.007221871507700487,0.0,2,4.625132428059951e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.42,0.37751741641417674,0.007517419394571043,0.0,0,0.0,0.0,0.007517419394571043,0.0,2,4.686560046726699e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.44,0.3777962977568916,0.007796271009008981,0.0,0,0.0,0.0,0.007796271009008981,0.0,2,4.760317619942287e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.46,0.3780590726008066,0.0080590788252696,0.0,0,0.0,0.0,0.0080590788252696,0.0,2,4.461376886172345e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.48,0.3783061825503593,0.008306157863693134,0.0,0,0.0,0.0,0.008306157863693134,0.0,2,4.19109289743673e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.5,0.37853812142002813,0.008538131253095643,0.0,0,0.0,0.0,0.008538131253095643,0.0,2,5.889648917685774e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.52,0.37875531090154835,0.008755289136246897,0.0,0,0.0,0.0,0.008755289136246897,0.0,2,3.8488580673641773e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.54,0.3789582091532151,0.008958222758911656,0.0,0,0.0,0.0,0.008958222758911656,0.0,2,4.840821281352545e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.56,0.3791472211932382,0.009147203012979157,0.0,0,0.0,0.0,0.009147203012979157,0.0,2,5.06269170326184e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.58,0.37932276973805223,0.009322785274175944,0.0,0,0.0,0.0,0.009322785274175944,0.0,2,4.150021370278829e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.6,0.3794852457208618,0.009485226566812869,0.0,0,0.0,0.0,0.009485226566812869,0.0,2,4.683155531747129e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.62,0.37963503713177865,0.009635048522244035,0.0,0,0.0,0.0,0.009635048522244035,0.0,2,4.595815448052753e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.6400000000000001,0.3797725226989389,0.009772500361755755,0.0,0,0.0,0.0,0.009772500361755755,0.0,2,3.850048668457189e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.6600000000000001,0.3798980569537443,0.009898064099280514,0.0,0,0.0,0.0,0.009898064099280514,0.0,2,3.964710127323737e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.68,0.3800120075687564,0.010011982686065683,0.0,0,0.0,0.0,0.010011982686065683,0.0,2,3.584764676126075e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.7,0.3801146974495117,0.010114700532784852,0.0,0,0.0,0.0,0.010114700532784852,0.0,2,4.3518516659811697e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.72,0.3802064836477903,0.01020645705453889,0.0,0,0.0,0.0,0.01020645705453889,0.0,2,3.6574876624035197e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.74,0.3802876598162798,0.010287659248573434,0.0,0,0.0,0.0,0.010287659248573434,0.0,2,3.507084373866093e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.76,0.38035857215886715,0.010358544847625287,0.0,0,0.0,0.0,0.010358544847625287,0.0,2,3.660928145877947e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.78,0.38041948792710034,0.01041948431818795,0.0,0,0.0,0.0,0.01041948431818795,0.0,2,3.8750653275497783e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.8,0.3804707416749548,0.010470714744973235,0.0,0,0.0,0.0,0.010470714744973235,0.0,2,3.643925711516592e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.82,0.38051257748919,0.010512571606220222,0.0,0,0.0,0.0,0.010512571606220222,0.0,2,3.7451338429577526e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.84,0.3805453170133356,0.010545291611194954,0.0,0,0.0,0.0,0.010545291611194954,0.0,2,3.504087865455971e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.86,0.3805691846695246,0.010569177387413314,0.0,0,0.0,0.0,0.010569177387413314,0.0,2,3.034286474613773e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.8800000000000001,0.38058448761101804,0.010584464866261417,0.0,0,0.0,0.0,0.010584464866261417,0.0,2,3.2976379965413417e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.9000000000000001,0.3805914342189851,0.01059142646526517,0.0,0,0.0,0.0,0.01059142646526517,0.0,2,3.7197794341501096e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.92,0.3805903154114106,0.010590296370918075,0.0,0,0.0,0.0,0.010590296370918075,0.0,2,3.5274034505953906e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.94,0.38058132712434856,0.0105813198217296,0.0,0,0.0,0.0,0.0105813198217296,0.0,2,3.315656199066814e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.96,0.3805647422905606,0.010564727855562516,0.0,0,0.0,0.0,0.010564727855562516,0.0,2,4.0252610332040004e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,1.98,0.3805407478157841,0.010540741825783123,0.0,0,0.0,0.0,0.010540741825783123,0.0,2,2.7336092307938874e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.0,0.38050959704979015,0.010509587919330314,0.0,0,0.0,0.0,0.010509587919330314,0.0,2,4.3876421266066554e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.02,0.3804714709557336,0.010471467026684493,0.0,0,0.0,0.0,0.010471467026684493,0.0,2,3.5710344671215087e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.04,0.38042660199988565,0.010426598624231342,0.0,0,0.0,0.0,0.010426598624231342,0.0,2,3.692517409345838e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.06,0.38037516783351194,0.010375166555923968,0.0,0,0.0,0.0,0.010375166555923968,0.0,2,3.533640711898594e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.08,0.3803173791607933,0.010317378002819245,0.0,0,0.0,0.0,0.010317378002819245,0.0,2,4.402523900789781e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.1,0.3802534123885276,0.01025340679818449,0.0,0,0.0,0.0,0.01025340679818449,0.0,2,3.469248756700182e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.12,0.3801834560992873,0.010183451756447012,0.0,0,0.0,0.0,0.010183451756447012,0.0,2,4.4303102492598053e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.14,0.380107686883538,0.01010767568257144,0.0,0,0.0,0.0,0.01010767568257144,0.0,2,4.299020334080993e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.16,0.38002627142591455,0.010026263828693085,0.0,0,0.0,0.0,0.010026263828693085,0.0,2,4.482355056066226e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.18,0.37993938724814263,0.009939371019534314,0.0,0,0.0,0.0,0.009939371019534314,0.0,2,3.891149487284359e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.2,0.3798471799712763,0.00984716927493605,0.0,0,0.0,0.0,0.00984716927493605,0.0,2,4.3861839418959407e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.22,0.37974982811145475,0.009749807712124577,0.0,0,0.0,0.0,0.009749807712124577,0.0,2,4.782220730498335e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.24,0.3796474576606029,0.009647444234610773,0.0,0,0.0,0.0,0.009647444234610773,0.0,2,4.3078086340188986e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.2600000000000002,0.37954024754179116,0.009540224063183167,0.0,0,0.0,0.0,0.009540224063183167,0.0,2,5.308003047069222e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.2800000000000002,0.37942830610446565,0.009428290509127234,0.0,0,0.0,0.0,0.009428290509127234,0.0,2,5.297513450055957e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.3000000000000003,0.37931181151015836,0.009311786224856783,0.0,0,0.0,0.0,0.009311786224856783,0.0,2,4.4753090354112186e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.32,0.3791908569224246,0.009190839874209595,0.0,0,0.0,0.0,0.009190839874209595,0.0,2,4.791994269886468e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.34,0.3790656180933351,0.009065592390473273,0.0,0,0.0,0.0,0.009065592390473273,0.0,2,4.4771025204948074e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.36,0.37893617581542244,0.008936158143107562,0.0,0,0.0,0.0,0.008936158143107562,0.0,2,5.11983266224632e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.38,0.3788027014314984,0.008802676744409658,0.0,0,0.0,0.0,0.008802676744409658,0.0,2,4.50864396371432e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.4,0.37866526640181586,0.008665248996160455,0.0,0,0.0,0.0,0.008665248996160455,0.0,2,3.831950284936172e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.42,0.37852403545448243,0.00852401318453309,0.0,0,0.0,0.0,0.00852401318453309,0.0,2,4.961831152924369e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.44,0.3783790738309362,0.008379057590928253,0.0,0,0.0,0.0,0.008379057590928253,0.0,2,5.460477585046268e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.46,0.37823053738994744,0.008230518830744908,0.0,0,0.0,0.0,0.008230518830744908,0.0,2,5.43952632815568e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.48,0.37807848818729733,0.008078473966128874,0.0,0,0.0,0.0,0.008078473966128874,0.0,2,5.101176235366684e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.5,0.3779230710661509,0.007923057332358718,0.0,0,0.0,0.0,0.007923057332358718,0.0,2,5.245814487620202e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.52,0.3777643476977138,0.0077643362517715656,0.0,0,0.0,0.0,0.0077643362517715656,0.0,2,6.048122013096152e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.54,0.37760245002119885,0.007602441985979105,0.0,0,0.0,0.0,0.007602441985979105,0.0,2,5.105674782785556e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.56,0.37743744175276134,0.007437433696635234,0.0,0,0.0,0.0,0.007437433696635234,0.0,2,4.491980704416834e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.58,0.37726944043009886,0.007269438674755185,0.0,0,0.0,0.0,0.007269438674755185,0.0,2,5.48261372002304e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.6,0.37709851375332504,0.007098509523509324,0.0,0,0.0,0.0,0.007098509523509324,0.0,2,5.34003441349825e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.62,0.3769247638603351,0.006924764971819627,0.0,0,0.0,0.0,0.006924764971819627,0.0,2,7.552955974535881e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.64,0.37674826379229326,0.006748255627866416,0.0,0,0.0,0.0,0.006748255627866416,0.0,2,6.687048949838673e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.66,0.37656909986611314,0.006569096875349545,0.0,0,0.0,0.0,0.006569096875349545,0.0,2,6.576208073707519e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.68,0.3763873511808054,0.006387336747741665,0.0,0,0.0,0.0,0.006387336747741665,0.0,2,6.103550879579012e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.7,0.3762030884309445,0.006203081431476352,0.0,0,0.0,0.0,0.006203081431476352,0.0,2,6.812585455882932e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.72,0.3760163968279074,0.006016376728212201,0.0,0,0.0,0.0,0.006016376728212201,0.0,2,7.106569517400763e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.74,0.3758273322675616,0.005827321565078548,0.0,0,0.0,0.0,0.005827321565078548,0.0,2,8.053411164470822e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.7600000000000002,0.37563598548178306,0.005635960627066696,0.0,0,0.0,0.0,0.005635960627066696,0.0,2,7.298453386904425e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.7800000000000002,0.3754423989837908,0.005442385077119776,0.0,0,0.0,0.0,0.005442385077119776,0.0,2,8.8456906067133e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.8000000000000003,0.37524666784046706,0.00524663940720428,0.0,0,0.0,0.0,0.00524663940720428,0.0,2,7.880125327767341e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.82,0.3750488231225088,0.005048806673163931,0.0,0,0.0,0.0,0.005048806673163931,0.0,2,7.985983338659621e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.84,0.37484896253929434,0.004848931909590565,0.0,0,0.0,0.0,0.004848931909590565,0.0,2,8.489069226380434e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.86,0.37464710808319,0.0046470898753698895,0.0,0,0.0,0.0,0.0046470898753698895,0.0,2,9.014309558795084e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,2.88,0.3744433580219906,0.004443326712996119,0.0,0,0.0,0.0,0.004443326712996119,0.0,2,8.066238427711332e-13,linear_damped,C3D8,35.59371939999983
