time,sfc_z_cm,abaqus_z_cm,z_cm_abs_error,sfc_min_gap,abaqus_min_gap,min_gap_abs_error,sfc_max_von_mises,abaqus_max_von_mises,von_mises_abs_error,sfc_max_strain_norm,abaqus_max_strain_norm,strain_norm_abs_error,sfc_p95_von_mises,abaqus_p95_von_mises,p95_von_mises_abs_error,sfc_volume_mean_von_mises,abaqus_volume_mean_von_mises,volume_mean_von_mises_abs_error,sfc_p95_strain_norm,abaqus_p95_strain_norm,p95_strain_norm_abs_error,sfc_volume_mean_strain_norm,abaqus_volume_mean_strain_norm,volume_mean_strain_norm_abs_error,sfc_normal_force_z,abaqus_normal_force_z,normal_force_z_abs_error,sfc_contact_energy,abaqus_contact_energy,contact_energy_abs_error,sfc_active_contact_area,abaqus_active_contact_area,active_contact_area_abs_error
0.774,0.06907959955192026,0.06902943363218433,5.01659197359311e-05,0.019078700521506075,0.01954076313737111,0.00046206261586503525,22595.80844612589,31581.536375460048,8985.727929334156,0.0005562777658980807,0.001196816056483361,0.0006405382905852803,22406.834446181798,23322.473608616823,915.6391624350254,12400.620445239449,10243.99612122488,2156.6243240145686,0.0005558301826071654,0.0008113052634846831,0.0002554750808775177,0.0003371047299284426,0.0003718391028439196,3.4734372915477005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.775,0.0691903434731561,0.06914190050188058,4.844297127551411e-05,0.019176382541286015,0.019637429853119292,0.0004610473118332771,23805.324840610374,29790.010392033935,5984.685551423561,0.0005622139806116896,0.0010484856644482413,0.00048627168383655165,23592.09743136405,29578.42057822245,5986.323146858398,12422.909640923086,13940.142952717899,1517.2333117948128,0.0005584900172978556,0.0008601629555408821,0.0003016729382430266,0.00032561709293814275,0.00047024457303144606,0.0001446274800933033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.776,0.06929127739439193,0.06924455710746014,4.672028693179786e-05,0.019288296162258627,0.01975974815813589,0.0004714519958772638,20783.128221161893,36584.98114958708,15801.852928425189,0.000621928176237766,0.0010716285940170702,0.00044970041777930413,12922.223288637322,35764.12042156175,22841.897132924423,8012.3767939292675,11855.156945661658,3842.7801517323906,0.0003142449287550791,0.0009562013130674733,0.0006419563843123941,0.00021095914685015499,0.0003617388679411686,0.00015077972109101362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.777,0.06938240131562781,0.06933742299665488,4.4978318972932474e-05,0.01939341943042464,0.019838091067712938,0.00044467163728829917,33897.49696656545,17442.259166670236,16455.237799895214,0.0009149755183697285,0.0006875479264341491,0.00022742759193557943,21181.797429973692,15840.490211254586,5341.3072187191065,9783.582425626912,7285.655263641394,2497.927161985517,0.0005131823876898283,0.0005630970748079806,4.9914687118152276e-05,0.00024181092290510923,0.00026016106497863924,1.835014207353001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.778,0.06946371523686369,0.0694204345619788,4.3280674884890735e-05,0.019445601147538294,0.019927945326733917,0.00048234417919562275,28392.09746422225,21921.850532076074,6470.246932146176,0.0007312946216762105,0.0008002101041533383,6.891548247712782e-05,28223.98539009108,21259.39414929563,6964.591240795449,14041.94541580863,10881.735562391425,3160.2098534172055,0.0007226271530776232,0.0005564612471985857,0.0001661659058790375,0.00035501670193102106,0.0003334554332223781,2.1561268708642975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779,0.06953521915809954,0.06949366116997126,4.155798812828515e-05,0.01954353316100955,0.02001573368868925,0.00047220052767969756,30122.698381848888,23423.94379323144,6698.7545886174485,0.0008431222418277909,0.0006582063803922684,0.00018491586143552254,29187.0205599676,23035.590038093014,6151.430521874587,11678.184474867092,14962.30953355167,3284.125058684578,0.0008081980101696345,0.0006329163849871085,0.0001752816251825261,0.0003195037791884611,0.0005187273888187939,0.00019922360963033276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.06959691307933544,0.0695570774074804,3.9835671855031896e-05,0.01959541757849702,0.02006478221970008,0.0004693646412030593,23014.860703966464,33599.27856916599,10584.417865199524,0.0006266954743658548,0.0009242897844126964,0.0002975943100468416,19840.07066533307,29276.42504989919,9436.354384566119,7711.902746585388,10143.50899505155,2431.6062484661625,0.0005726839279293482,0.0008728607314400941,0.0003001768035107459,0.00021124137406119226,0.0003139300826595072,0.00010268870859831493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.781,0.0696487970005713,0.06961068339401796,3.811360655334162e-05,0.019644579932874502,0.020112499600211834,0.0004679196673373319,19379.937587921293,25436.856882328815,6056.919294407522,0.0005073539667303308,0.0009786415702045257,0.0004712876034741949,18974.035316597092,16623.21657756962,2350.8187390274725,11556.13922484025,7076.906490541765,4479.2327342984845,0.0004883907112758804,0.0006788226466481655,0.00019043193537228507,0.00029680513001607487,0.00024201517513117765,5.478995488489722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.782,0.0696908709218072,0.06965447912870179,3.639179310541141e-05,0.019692859923759385,0.02015893905326674,0.00046607912950735395,26675.851438896014,18737.852705921992,7937.998732974022,0.0006348435933140629,0.000538696855159854,9.614673815420884e-05,22404.090352427353,18602.146423563627,3801.943928863726,14040.125932848745,14283.364799099816,243.23886625107116,0.000481018259666142,0.0004958277788748852,1.4809519208743179e-05,0.000342535803574485,0.00039745333018273736,5.491752660825237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783,0.06972313484304309,0.06968846261964799,3.467222339509357e-05,0.019715139923003153,0.020185324664559974,0.0004701847415568214,16426.87715710974,24716.262790442095,8289.385633332357,0.00047135182901072363,0.0009365982266034657,0.00046524639759274204,15539.888262279488,23590.51903371833,8050.630771438842,10082.003679566147,14779.791387871279,4697.787708305132,0.0004496620113621983,0.0009169403977673147,0.0004672783864051164,0.0002854146944581142,0.0005170651029093138,0.00023165040845119959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
