case,external_solver,resolution,element_id,centroid_x,centroid_y,centroid_z,von_mises_sfc,von_mises_external,von_mises_abs_error,status,details
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,40,0.7499999999999999,0.15,0.016666666666666666,89.45560498770102,89.4556049876943,6.721734280290548e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,41,0.9166666666666666,0.18333333333333338,0.016666666666666666,29.768803402428507,29.768803402432322,3.815614491031738e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,42,0.8333333333333333,0.16666666666666669,0.03333333333333333,42.82447314774108,42.82447314773991,1.1723955140041653e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,43,0.75,0.18333333333333338,0.05,83.71964877982985,83.71964877982143,8.427036846114788e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,44,0.9166666666666666,0.15000000000000002,0.05,14.540940427872805,14.54094042787059,2.2151169787321123e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,45,0.08333333333333333,0.016666666666666666,0.08333333333333334,224.93484294907336,224.9348429491108,3.743139131984208e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,46,0.25,0.05,0.08333333333333334,129.60945177723613,129.60945177724432,8.185452315956354e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,47,0.16666666666666666,0.03333333333333333,0.1,116.25744797159378,116.25744797160775,1.396927018504357e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,48,0.08333333333333333,0.05,0.11666666666666667,224.65096160848265,224.65096160851962,3.6976643968955614e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,49,0.25,0.016666666666666666,0.11666666666666667,128.40274351115235,128.40274351115775,5.4001247917767614e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,50,0.41666666666666663,0.016666666666666666,0.08333333333333334,169.090294858924,169.09029485894177,1.7763568394002505e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,51,0.5833333333333333,0.05,0.08333333333333334,66.13759070590278,66.13759070589977,3.0127011996228248e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,52,0.5,0.03333333333333333,0.1,83.73159243341615,83.73159243342472,8.569145393266808e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,53,0.41666666666666663,0.05,0.11666666666666667,166.9619579532212,166.9619579532372,1.6001422409317456e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,54,0.5833333333333333,0.016666666666666666,0.11666666666666667,58.95459787389047,58.95459787388603,4.440892098500626e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,55,0.7499999999999999,0.016666666666666666,0.08333333333333334,95.52360976667258,95.52360976667232,2.5579538487363607e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,56,0.9166666666666666,0.05,0.08333333333333334,20.059422648639362,20.05942264864005,6.892264536872972e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,57,0.8333333333333333,0.03333333333333333,0.1,48.062422040587414,48.06242204059039,2.9771740628348198e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,58,0.75,0.05,0.11666666666666667,90.25922676835232,90.25922676835009,2.2311041902867146e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,59,0.9166666666666666,0.016666666666666666,0.11666666666666667,20.08623300237858,20.086233002383032,4.451550239537028e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,60,0.08333333333333333,0.08333333333333333,0.08333333333333334,225.97034743979114,225.97034743982758,3.643663148977794e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,61,0.25,0.11666666666666667,0.08333333333333334,128.05466451457124,128.05466451458005,8.810729923425242e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,62,0.16666666666666666,0.1,0.1,114.84453776449575,114.84453776451033,1.4580336937797256e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,63,0.08333333333333333,0.11666666666666667,0.11666666666666667,225.97034743979148,225.97034743982752,3.603872755775228e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,64,0.25,0.08333333333333334,0.11666666666666667,128.0546645145722,128.05466451457974,7.531752999057062e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,65,0.41666666666666663,0.08333333333333333,0.08333333333333334,168.33580076318316,168.33580076319848,1.531930138298776e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,66,0.5833333333333333,0.11666666666666667,0.08333333333333334,63.148513514300596,63.14851351429817,2.4229507289419416e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,67,0.5,0.1,0.1,82.13404970694506,82.13404970695228,7.219114195322618e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,68,0.41666666666666663,0.11666666666666667,0.11666666666666667,168.33580076318373,168.3358007631985,1.4779288903810084e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,69,0.5833333333333333,0.08333333333333334,0.11666666666666667,63.14851351430082,63.14851351429795,2.8634872251132037e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,70,0.7499999999999999,0.08333333333333333,0.08333333333333334,91.29262980346513,91.29262980346229,2.8421709430404007e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,71,0.9166666666666666,0.11666666666666667,0.08333333333333334,16.536846051092315,16.536846051088343,3.97193389289896e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,72,0.8333333333333333,0.1,0.1,46.25000243007802,46.25000243007785,1.7053025658242404e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,73,0.75,0.11666666666666667,0.11666666666666667,91.29262980346701,91.29262980346118,5.8264504332328215e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,74,0.9166666666666666,0.08333333333333334,0.11666666666666667,16.53684605108859,16.53684605109061,2.0179413695586845e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,75,0.08333333333333333,0.15,0.08333333333333334,224.65096160848424,224.65096160851925,3.501554601825774e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,76,0.25,0.18333333333333338,0.08333333333333334,128.40274351114897,128.40274351115906,1.0089706847793423e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,77,0.16666666666666666,0.16666666666666669,0.1,116.25744797159281,116.257447971608,1.5191403690550942e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,78,0.08333333333333333,0.18333333333333338,0.11666666666666667,224.93484294907552,224.93484294911042,3.490185918053612e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,79,0.25,0.15000000000000002,0.11666666666666667,129.60945177723525,129.6094517772446,9.350742402602918e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
